MODEL,MAE,MSE,R2
LinearRegression,4181.194473753649,33596915.851361476,0.7835929767120722
KNeighborsRegressor,3599.650978541045,33220062.497408804,0.7860203933507237
DecisionTreeRegressor, 3231.716920768657,45893710.289134110,704385924135129
RandomForestRegressor,2544.5608257824942,21009891.830168135,0.8646694782734412       
